,Names,Gender
249,Δονάτα,Female
250,Δόξα,Female
251,Δούκισσα,Female
252,Δροσιά,Female
253,Δροσούλα,Female
254,Δρόσω,Female
255,Δρυόπη,Female
256,Δρυπέτη,Female
257,Δωδώνη,Female
258,Δώρα,Female
259,Δωροθέα,Female
260,Δωρούλα,Female
261,Έβελιν,Female
262,Εβελίνα,Female
263,Εβίτα,Female
264,Ειρήνη,Female
265,Εκάβη,Female
266,Εκάλη,Female
267,Εκάτη,Female
268,Ελβίρα,Female
269,Ελεάνα,Female
270,Ελεάννα,Female
271,Ελεημονήτρια,Female
272,Έλενα,Female
273,Ελένη,Female
274,Ελενίτσα,Female
275,Ελενιώ,Female
276,Ελεονώρα,Female
277,Ελευθερία,Female
278,Ελίζα,Female
279,Ελισάβετ,Female
280,Ελισώ,Female
281,Έλλη,Female
282,Ελληνόπη,Female
283,Ελπίδα,Female
284,Ελπινίκη,Female
285,Έμιλυ,Female
286,Έμμα,Female
287,Εμμανουέλα,Female
288,Έμυ,Female
289,Ερασμία,Female
290,Ερατώ,Female
291,Έριδα,Female
292,Εριέττα,Female
293,Εριφύλη,Female
294,Ερμιόνη,Female
295,Ερμύλλη,Female
296,Ερριέτα,Female
297,Έρση,Female
298,Ερωφίλη,Female
299,Εσθήρ,Female
300,Εσμεράλδα,Female
301,Εσπερία,Female
302,Εστία,Female
303,Εύα,Female
304,Ευαγγελή,Female
305,Ευανθία,Female
306,Ευγενία,Female
307,Ευγενίτσα,Female
308,Ευγενούλα,Female
309,Ευγνωσία,Female
310,Ευδοκία,Female
311,Ευδοκίτσα,Female
312,Ευδοκούλα,Female
313,Ευδοξία,Female
314,Ευδοξούλα,Female
315,Ευδώρα,Female
316,Ευελίνα,Female
317,Εύη,Female
318,Ευθαλία,Female
319,Ευθαλίτσα,Female
320,Ευθαλιώ,Female
321,Ευθυμία,Female
322,Ευθυμούλα,Female
323,Ευλαλία,Female
324,Ευλαμπία,Female
325,Ευλάμπω,Female
326,Ευλογία,Female
327,Ευμενία,Female
328,Ευμορφία,Female
329,Ευνίκη,Female
330,Ευπραξία,Female
331,Ευπρεπία,Female
332,Ευριλία,Female
333,Ευρυδίκη,Female
334,Ευρύκλεια,Female
335,Ευρυνόμη,Female
336,Ευρυπία,Female
337,Ευσεβεία,Female
338,Ευσεβία,Female
339,Ευσεβούλα,Female
340,Ευσταθία,Female
341,Ευσταθούλα,Female
342,Ευστρατία,Female
343,Ευστρατούλα,Female
344,Ευτέρπη,Female
345,Ευτυχία,Female
346,Ευτυχίτσα,Female
347,Ευτυχούλα,Female
348,Ευφημία,Female
349,Ευφραιμία,Female
350,Ευφροσύνη,Female
351,Ευψυχία,Female
352,Έφη,Female
353,Ζαΐρα,Female
354,Ζαμπέτα,Female
355,Ζαμπία,Female
356,Ζαννέτα,Female
357,Ζαφειρία,Female
358,Ζαφείρω,Female
359,Ζαχαρένια,Female
360,Ζαχαρίτσα,Female
361,Ζαχαρούλα,Female
362,Ζαχάρω,Female
363,Ζήνα,Female
364,Ζηνοβία,Female
365,Ζησούλα,Female
366,Ζουμπουλία,Female
367,Ζωγραφιά,Female
368,Ζωζώ,Female
369,Ζωή,Female
370,Ζωίτσα,Female
371,Ήβη,Female
372,Ηδύλη,Female
373,Ηλεάνα,Female
374,Ηλέκτρα,Female
375,Ηλιάδα,Female
376,Ηλιάνα,Female
377,Ηλιοστάλακτη,Female
378,Ηλιόχαρη,Female
379,Ήρα,Female
380,Ηρακλίτσα,Female
381,Ηρώ,Female
382,Ηρωδιάδα,Female
383,Ησιόνη,Female
384,Ηώ,Female
385,Θάλεια,Female
386,Θανασία,Female
387,Θεανώ,Female
388,Θεή,Female
389,Θέκλα,Female
390,Θέλμα,Female
391,Θελξιώπη,Female
392,Θέμις,Female
393,Θεοδοσία,Female
394,Θεοδότη,Female
395,Θεοδούλα,Female
396,Θεοδούλη,Female
397,Θεοδώρα,Female
398,Θεολογία,Female
399,Θεονίκη,Female
400,Γιαννιώ,Female
401,Γιαννούλα,Female
402,Γιασεμή,Female
403,Γιοβάννα,Female
404,Γιολάντα,Female
405,Γιούλα,Female
406,Γιούλη,Female
407,Γιωργία,Female
408,Γιώτα,Female
409,Γκόλφω,Female
410,Γλαύκη,Female
411,Γλυκερία,Female
412,Γραμματίνα,Female
413,Γρηγορία,Female
414,Γωγούλα,Female
415,Γωγώ,Female
416,Δαμασκηνή,Female
417,Δαμιανή,Female
418,Δαμοφίλη,Female
419,Δανάη,Female
420,Δαρεία,Female
421,Δάφνη,Female
422,Δάφνις,Female
423,Δεβόρα,Female
424,Δεδουσία,Female
425,Δέσποινα,Female
426,Δεσποινιώ,Female
427,Δεσποινούλα,Female
428,Δεσπούλα,Female
429,Δέσπω,Female
430,Δηιδάμεια,Female
431,Δήμητρα,Female
432,Δημητρούλα,Female
433,Δημούλλα,Female
434,Δημοφίλη,Female
435,Διαλεχτή,Female
436,Διαμαντίνα,Female
437,Διαμάντω,Female
438,Διηάνειρα,Female
439,Διηδάμεια,Female
440,Δικαία,Female
441,Διονυσία,Female
442,Διονυσούλα,Female
443,Διοτίμα,Female
444,Διώνη,Female
445,Διωξίππη,Female
446,Δομινίκη,Female
447,Δομιτίλλα,Female
448,Δόμνα,Female
449,Δονάτα,Female
450,Δόξα,Female
451,Δούκισσα,Female
452,Δροσιά,Female
453,Δροσούλα,Female
454,Δρόσω,Female
455,Δρυόπη,Female
456,Δρυπέτη,Female
457,Δωδώνη,Female
458,Δώρα,Female
459,Δωροθέα,Female
460,Δωρούλα,Female
461,Έβελιν,Female
462,Εβελίνα,Female
463,Εβίτα,Female
464,Ειρήνη,Female
465,Εκάβη,Female
466,Εκάλη,Female
467,Εκάτη,Female
468,Ελβίρα,Female
469,Ελεάνα,Female
470,Ελεάννα,Female
471,Ελεημονήτρια,Female
472,Έλενα,Female
473,Ελένη,Female
474,Ελενίτσα,Female
475,Ελενιώ,Female
476,Ελεονώρα,Female
477,Ελευθερία,Female
478,Ελίζα,Female
479,Ελισάβετ,Female
480,Ελισώ,Female
481,Έλλη,Female
482,Ελληνόπη,Female
483,Ελπίδα,Female
484,Ελπινίκη,Female
485,Έμιλυ,Female
486,Έμμα,Female
487,Εμμανουέλα,Female
488,Έμυ,Female
489,Ερασμία,Female
490,Ερατώ,Female
491,Έριδα,Female
492,Εριέττα,Female
493,Εριφύλη,Female
494,Ερμιόνη,Female
495,Ερμύλλη,Female
496,Ερριέτα,Female
497,Έρση,Female
498,Ερωφίλη,Female
499,Εσθήρ,Female
500,Εσμεράλδα,Female
501,Εσπερία,Female
502,Εστία,Female
503,Εύα,Female
504,Ευαγγελή,Female
505,Ευανθία,Female
506,Ευγενία,Female
507,Ευγενίτσα,Female
508,Ευγενούλα,Female
509,Ευγνωσία,Female
510,Ευδοκία,Female
511,Ευδοκίτσα,Female
512,Ευδοκούλα,Female
513,Ευδοξία,Female
514,Ευδοξούλα,Female
515,Ευδώρα,Female
516,Ευελίνα,Female
517,Εύη,Female
518,Ευθαλία,Female
519,Ευθαλίτσα,Female
520,Ευθαλιώ,Female
521,Ευθυμία,Female
522,Ευθυμούλα,Female
523,Ευλαλία,Female
524,Ευλαμπία,Female
525,Ευλάμπω,Female
526,Ευλογία,Female
527,Ευμενία,Female
528,Ευμορφία,Female
529,Ευνίκη,Female
530,Ευπραξία,Female
531,Ευπρεπία,Female
532,Ευριλία,Female
533,Ευρυδίκη,Female
534,Ευρύκλεια,Female
535,Ευρυνόμη,Female
536,Ευρυπία,Female
537,Ευσεβεία,Female
538,Ευσεβία,Female
539,Ευσεβούλα,Female
540,Ευσταθία,Female
541,Ευσταθούλα,Female
542,Ευστρατία,Female
543,Ευστρατούλα,Female
544,Ευτέρπη,Female
545,Ευτυχία,Female
546,Ευτυχίτσα,Female
547,Ευτυχούλα,Female
548,Ευφημία,Female
549,Ευφραιμία,Female
550,Ευφροσύνη,Female
551,Ευψυχία,Female
552,Έφη,Female
553,Ζαΐρα,Female
554,Ζαμπέτα,Female
555,Ζαμπία,Female
556,Ζαννέτα,Female
557,Ζαφειρία,Female
558,Ζαφείρω,Female
559,Ζαχαρένια,Female
560,Ζαχαρίτσα,Female
561,Ζαχαρούλα,Female
562,Ζαχάρω,Female
563,Ζήνα,Female
564,Ζηνοβία,Female
565,Ζησούλα,Female
566,Ζουμπουλία,Female
567,Ζωγραφιά,Female
568,Ζωζώ,Female
569,Ζωή,Female
570,Ζωίτσα,Female
571,Ήβη,Female
572,Ηδύλη,Female
573,Ηλεάνα,Female
574,Ηλέκτρα,Female
575,Ηλιάδα,Female
576,Ηλιάνα,Female
577,Ηλιοστάλακτη,Female
578,Ηλιόχαρη,Female
579,Ήρα,Female
580,Ηρακλίτσα,Female
581,Ηρώ,Female
582,Ηρωδιάδα,Female
583,Ησιόνη,Female
584,Ηώ,Female
585,Θάλεια,Female
586,Θανασία,Female
587,Θεανώ,Female
588,Θεή,Female
589,Θέκλα,Female
590,Θέλμα,Female
591,Θελξιώπη,Female
592,Θέμις,Female
593,Θεοδοσία,Female
594,Θεοδότη,Female
595,Θεοδούλα,Female
596,Θεοδούλη,Female
597,Θεοδώρα,Female
598,Θεολογία,Female
599,Θεονίκη,Female
600,Μαρκιανή,Female
601,Μαρούλα,Female
602,Μαρουλίτσα,Female
603,Μαρουλιώ,Female
604,Μαρούσα,Female
605,Μαρουσώ,Female
606,Μάρω,Female
607,Μάτα,Female
608,Ματθίλδη,Female
609,Ματίλντα,Female
610,Ματίνα,Female
611,Ματούλα,Female
612,Ματρώνα,Female
613,Μαύρα,Female
614,Μαυρέτα,Female
615,Μάχη,Female
616,Μελάνη,Female
617,Μελανή,Female
618,Μελανία,Female
619,Μελένια,Female
620,Μελετία,Female
621,Μελίνα,Female
622,Μελίτα,Female
623,Μελπομένη,Female
624,Μέλπω,Female
625,Μέμα,Female
626,Μένια,Female
627,Μερκουρία,Female
628,Μερόπη,Female
629,Μερσίνη,Female
630,Μεταξία,Female
631,Μεταξούλα,Female
632,Μηλένια,Female
633,Μηλίτσα,Female
634,Μήτση,Female
635,Μία,Female
636,Μίκα,Female
637,Μιλένα,Female
638,Μίμα,Female
639,Μιμή,Female
640,Μιμίκα,Female
641,Μίνα,Female
642,Μιράντα,Female
643,Μιρέλλα,Female
644,Μίρκα,Female
645,Μισέλ,Female
646,Μίτση,Female
647,Μιχαέλα,Female
648,Μιχαήλα,Female
649,Μιχαλία,Female
650,Μιχαλίτσα,Female
651,Μόνα,Female
652,Μόνικα,Female
653,Μορφούλα,Female
654,Μοσχάνθη,Female
655,Μοσχούλα,Female
656,Μόσχω,Female
657,Μπεάτα,Female
658,Μπεμπέκα,Female
659,Μπετζέχρω,Female
660,Μπέτυ,Female
661,Μπία,Female
662,Μυριάνθη,Female
663,Μυρσίνη,Female
664,Μυρτιά,Female
665,Μυρτώ,Female
666,Νάγια,Female
667,Νάντια,Female
668,Νάσια,Female
669,Νάτα,Female
670,Νάταλι,Female
671,Ναταλία,Female
672,Νατάσα,Female
673,Ναυσικά,Female
674,Νεκταρία,Female
675,Νεοφύτα,Female
676,Νεστορία,Female
677,Νεφέλη,Female
678,Νίκη,Female
679,Νικηφορία,Female
680,Νικολέτα,Female
681,Νικολέττα,Female
682,Νικολία,Female
683,Νικολίνα,Female
684,Νικολίτσα,Female
685,Νίνα,Female
686,Νινέτα,Female
687,Νινή,Female
688,Νιόβη,Female
689,Νίτσα,Female
690,Νομική,Female
691,Νταίζη,Female
692,Ντάλια,Female
693,Ντάνα,Female
694,Ντέμη,Female
695,Ντιάνα,Female
696,Ντίνα,Female
697,Ντίτα,Female
698,Ντόρα,Female
699,Νυμφoδώρα,Female
700,Ξανθή,Female
701,Ξανθίππη,Female
702,Ξανθούλα,Female
703,Ξένη,Female
704,Ξένια,Female
705,Ξενία,Female
706,Οδέττη,Female
707,Όλγα,Female
708,Ολγάκι,Female
709,Ολυμπία,Female
710,Ολυμπιοδώρα,Female
711,Ορσαλία,Female
712,Ορτανσία,Female
713,Ούρσουλα,Female
714,Οφηλία,Female
715,Παγώνα,Female
716,Παναγιώτα,Female
717,Παναγιωτούλα,Female
718,Παναγούλα,Female
719,Παναΐλα,Female
720,Πανδώρα,Female
721,Παντούλα,Female
722,Πανωραία,Female
723,Παρασκευή,Female
724,Παρασκευούλα,Female
725,Παρθένα,Female
726,Παρθενία,Female
727,Παρθενόπη,Female
728,Πασχαλία,Female
729,Πασχαλιά,Female
730,Πασχαλίνα,Female
731,Πάτρα,Female
732,Πατρικία,Female
733,Παυλίνα,Female
734,Πελαγία,Female
735,Πελαγίτσα,Female
736,Πενθεσιλεία,Female
737,Πέπη,Female
738,Περιστέρα,Female
739,Περσεφόνη,Female
740,Πέτρα,Female
741,Πετρούλα,Female
742,Πηγή,Female
743,Πηγίτσα,Female
744,Πηγούλα,Female
745,Πηνελόπη,Female
746,Πηνελοπίτσα,Female
747,Πιπίνα,Female
748,Πιπίτσα,Female
749,Πίστη,Female
750,Πίτσα,Female
751,Πλούμπω,Female
752,Ποθητή,Female
753,Πόλα,Female
754,Πόλη,Female
755,Πόλυ,Female
756,Πολύμνια,Female
757,Πολυνίκη,Female
758,Πολυξένη,Female
759,Πολυτίμη,Female
760,Πολυχρονία,Female
761,Πόπη,Female
762,Ποπίτσα,Female
763,Πορφυρή,Female
764,Πορφυρία,Female
765,Πουλουδιά,Female
766,Πουλχερία,Female
767,Πουλχερίτσα,Female
768,Πραξιθέα,Female
769,Πρίσκιλλα,Female
770,Προκοπία,Female
771,Προκοπίτσα,Female
772,Πτολεμαία,Female
773,Πωλίνα,Female
774,Ραλλία,Female
775,Ραλλού,Female
776,Ράνια,Female
777,Ραφαέλα,Female
778,Ραφαηλία,Female
779,Ραχήλ,Female
780,Ρέα,Female
781,Ρεβέκκα,Female
782,Ρεγγίνα,Female
783,Ρένα,Female
784,Ρήνη,Female
785,Ρηνιώ,Female
786,Ρηνούλα,Female
787,Ρία,Female
788,Ρίτα,Female
789,Ρίτσα,Female
790,Ροδάνθη,Female
791,Ροδή,Female
792,Ροδιά,Female
793,Ροδόπη,Female
794,Ροδούλα,Female
795,Ρόζα,Female
796,Ροζαλία,Female
797,Ροζίτα,Female
798,Ρόζυ,Female
799,Ρούλα,Female
800,Ρουμπίνα,Female
801,Ρουμπίνη,Female
802,Ρωξάνη,Female
803,Σαββούλα,Female
804,Σαβίνα,Female
805,Σαλώμη,Female
806,Σαμαλτάνα,Female
807,Σαμάνθα,Female
808,Σαμπρίνα,Female
809,Σαπφώ,Female
810,Σάρα,Female
811,Σαραντούλα,Female
812,Σάσα,Female
813,Σεβαστή,Female
814,Σεβαστιανή,Female
815,Σέβη,Female
816,Σεμέλη,Female
817,Σεραφειμία,Female
818,Σεσίλ,Female
819,Σεσίλια,Female
820,Σημέλα,Female
821,Σία,Female
822,Σίλβα,Female
823,Σιλβάνα,Female
824,Σιλβανή,Female
825,Σιμέλα,Female
826,Σιμώνη,Female
827,Σίσσυ,Female
828,Σκιαδενή,Female
829,Σμαράγδα,Female
830,Σμαραγδένια,Female
831,Σμαραγδή,Female
832,Σμαραγδία,Female
833,Σμαράγδω,Female
834,Σμαρούλα,Female
835,Σμαρώ,Female
836,Σόνια,Female
837,Σότια,Female
838,Σου,Female
839,Σουζάνα,Female
840,Σούζυ,Female
841,Σούλα,Female
842,Σούλη,Female
843,Σουλίτσα,Female
844,Σουλτάνα,Female
845,Σουράνα,Female
846,Σόφη,Female
847,Σοφία,Female
848,Σοφιάννα,Female
849,Σοφίτσα,Female
850,Σοφούλα,Female
851,Σπυριδούλα,Female
852,Σταμάτα,Female
853,Σταματέλλα,Female
854,Σταματία,Female
855,Σταματίνα,Female
856,Στάσα,Female
857,Στασινή,Female
858,Στασούλα,Female
859,Σταυριανή,Female
860,Σταυρούλα,Female
861,Στέλα,Female
862,Στέλλα,Female
863,Στελλίτσα,Female
864,Στεργιανή,Female
865,Στεφανία,Female
866,Στέφη,Female
867,Στρατονίκη,Female
868,Στυλιανή,Female
869,Σύλβα,Female
870,Σύλβια,Female
871,Συμέλα,Female
872,Σωζάνα,Female
873,Σωτηρία,Female
874,Σωφρονία,Female
875,Ταβιθά,Female
876,Ταμάρα,Female
877,Τάνια,Female
878,Ταρσία,Female
879,Τασία,Female
880,Τατιάνα,Female
881,Τατιανή,Female
882,Ταϋγέτη,Female
883,Τέρψη,Female
884,Τερψιθέα,Female
885,Τερψιχόρη,Female
886,Τέτα,Female
887,Τέτη,Female
888,Τζανετίνα,Female
889,Τζένη,Female
890,Τζίνα,Female
891,Τζοάννα,Female
892,Τζοβάνα,Female
893,Τίτα,Female
894,Τίτη,Female
895,Τούλα,Female
896,Τριάδα,Female
897,Τριανταφυλλένια,Female
898,Τριαντάφυλλη,Female
899,Τριανταφυλλιά,Female
900,Τρισεύγενη,Female
901,Τρίσω,Female
902,Τρυγώνα,Female
903,Τσαμπίκα,Female
904,Τσιτσέκα,Female
905,Τώνια,Female
906,Υακίνθη,Female
907,Υβόννη,Female
908,Υπαπαντή,Female
909,Υπατία,Female
910,Υπομονή,Female
911,Φαίδρα,Female
912,Φαίη,Female
913,Φαιναρέτη,Female
914,Φανή,Female
915,Φανίτσα,Female
916,Φανούλα,Female
917,Φανουρία,Female
918,Φεβρωνία,Female
919,Φένια,Female
920,Φερενίκη,Female
921,Φερφούθη,Female
922,Φηλίκουλα,Female
923,Φιλαρέτη,Female
924,Φιλίππα,Female
925,Φιλιππία,Female
926,Φιλίτσα,Female
927,Φιλιώ,Female
928,Φιλοθέα,Female
929,Φιλοθέη,Female
930,Φιλομένα,Female
931,Φιλομήλα,Female
932,Φλανδρώ,Female
933,Φλώρα,Female
934,Φλωρεντία,Female
935,Φλωρέτα,Female
936,Φοίβη,Female
937,Φούλα,Female
938,Φράγκα,Female
939,Φραγκίσκα,Female
940,Φραγκίσκη,Female
941,Φραντζέσκα,Female
942,Φρατζέσκα,Female
943,Φρειδερίκη,Female
944,Φροσύνη,Female
945,Φρόσω,Female
946,Φρύνη,Female
947,Φωτεινή,Female
948,Φωτούλα,Female
949,Φώτω,Female
950,Φώφη,Female
951,Φωφώ,Female
952,Χάιδω,Female
953,Χαρά,Female
954,Χαραλαμπία,Female
955,Χαρίκλεια,Female
956,Χάρις,Female
957,Χαριτίνη,Female
958,Χαρούλα,Female
959,Χιονία,Female
960,Χλόη,Female
961,Χρίστα,Female
962,Χριστιάνα,Female
963,Χριστίνα,Female
964,Χριστοφίλη,Female
965,Χριστοφόρα,Female
966,Χρύσα,Female
967,Χρυσάνθη,Female
968,Χρυσαυγή,Female
969,Χρυσαφένια,Female
970,Χρυσή,Female
971,Χρυσηίς,Female
972,Χρυσοβαλάντω,Female
973,Χρυσοπηγή,Female
974,Χρυσούλα,Female
975,Χρυσούλη,Female
976,Χρύσπα,Female
977,Χρυστάλλα,Female
978,Χρύσω,Female
979,Ωκυπέτη,Female
980,Ωραία,Female
981,Ωραιάνθη,Female
982,Ωραιοζήλη,Female
983,Ααρών,Male
984,Αβέρκιος,Male
985,Αβραάμ,Male
986,Αγαθάγγελος,Male
987,Αγαθοκλής,Male
988,Αγαθόνικος,Male
989,Αγαμέμνων,Male
990,Αγαπήνωρ,Male
991,Αγάπιος,Male
992,Αγγελάριος,Male
993,Άγγελος,Male
994,Αγήνωρ,Male
995,Αγησίλαος,Male
996,Άγις,Male
997,Αγοράκριτος,Male
998,Αγοραστός,Male
999,Αδάμ,Male
1000,Αδαμάντιος,Male
1001,Αδάμος,Male
1002,Άδμητος,Male
1003,Αδόλφος,Male
1004,Αδριανός,Male
1005,Άδωνις,Male
1006,Αετιδεύς,Male
1007,Αθανάσης,Male
1008,Αθανάσιος,Male
1009,Αθηναγόρας,Male
1010,Αθηνόδωρος,Male
1011,Αίας,Male
1012,Αιγεύς,Male
1013,Αίγισθος,Male
1014,Αίγλων,Male
1015,Αιδέσιος,Male
1016,Αιθέριος,Male
1017,Αιμιλιανός,Male
1018,Αιμίλιος,Male
1019,Αίμων,Male
1020,Αινείας,Male
1021,Αίολος,Male
1022,Αίσωπος,Male
1023,Ακάδημος,Male
1024,Ακάκιος,Male
1025,Ακίνδυνος,Male
1026,Ακόλουθος,Male
1027,Ακταίος,Male
1028,Ακύλας,Male
1029,Αλβέρτος,Male
1030,Αλέκος,Male
1031,Αλέξανδρος,Male
1032,Αλέξης,Male
1033,Αλέξιος,Male
1034,Αλκαίος,Male
1035,Αλκαμένης,Male
1036,Άλκης,Male
1037,Αλκιβιάδης,Male
1038,Αλκίνοος,Male
1039,Αλφρέδος,Male
1040,Αμβρόσιος,Male
1041,Αμύντας,Male
1042,Αμφιανός,Male
1043,Αμφικτύων,Male
1044,Αμφιλόχιος,Male
1045,Αμφιτρύων,Male
1046,Αναγνώστης,Male
1047,Ανακρέων,Male
1048,Ανανίας,Male
1049,Αναξαγόρας,Male
1050,Αναξήνωρ,Male
1051,Αναξίβιος,Male
1052,Αναξίλαος,Male
1053,Αναξίμανδρος,Male
1054,Αναξιμένης,Male
1055,Αναξίπολις,Male
1056,Ανάξιππος,Male
1057,Ανάργυρος,Male
1058,Αναστάσης,Male
1059,Αναστάσιος,Male
1060,Ανατόλιος,Male
1061,Ανδρέας,Male
1062,Ανδροκλής,Male
1063,Ανδρόνικος,Male
1064,Ανδρόφιλος,Male
